,branch,PT,TY,LAB,V_plc,L2-NORM,V_pkc,delta,sw,tau_max,Ktau,lambda1,lambda2,lambda3,lambda4,lambda5,PAR(21),PAR(22),PAR(23),PAR(24),PAR(25),PAR(26),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(36),PAR(80)
1,1,-1,9,1,0.0,4.0508562999,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529600382,3.8610110283,0.70394998789,0.0,0.0,1.0,0.080529600382,3.8610110283,0.70394998789,0.0,0.0,6.0
2,1,-2,0,0,7.6780119944e-07,4.0508566712,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529583751,3.8610112882,0.70395070106,3.5438148085e-07,1.4175259234e-06,1.0,0.080529583751,3.8610112882,0.70395070106,3.5438148085e-07,1.4175259234e-06,6.0
3,1,-3,0,0,1.2329667189e-06,4.0508566705,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529583761,3.8610112874,0.70395070095,5.6907973445e-07,2.2763189378e-06,1.0,0.080529583761,3.8610112874,0.70395070095,5.6907973445e-07,2.2763189378e-06,6.0
4,1,-4,0,0,2.1632996672e-06,4.050856668,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529583797,3.8610112849,0.70395070058,9.9847574045e-07,3.9939029618e-06,1.0,0.080529583797,3.8610112849,0.70395070058,9.9847574045e-07,3.9939029618e-06,6.0
5,1,-5,0,0,4.0239721127e-06,4.0508566588,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529583927,3.8610112755,0.70395069923,1.8572652463e-06,7.4290609852e-06,1.0,0.080529583927,3.8610112755,0.70395069923,1.8572652463e-06,7.4290609852e-06,6.0
6,1,-6,0,0,7.7453336661e-06,4.0508566241,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529584423,3.8610112399,0.7039506941,3.5748298429e-06,1.4299319372e-05,1.0,0.080529584423,3.8610112399,0.7039506941,3.5748298429e-06,1.4299319372e-05,6.0
7,1,-7,0,0,1.5187979501e-05,4.0508564885,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529586353,3.8610111012,0.70395067412,7.0098350289e-06,2.8039340116e-05,1.0,0.080529586353,3.8610111012,0.70395067412,7.0098350289e-06,2.8039340116e-05,6.0
8,1,-8,0,0,2.6351345921e-05,4.0508561202,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529591599,3.8610107244,0.70395061982,1.216184431e-05,4.8647377239e-05,1.0,0.080529591599,3.8610107244,0.70395061982,1.216184431e-05,4.8647377239e-05,6.0
9,1,-9,0,0,4.3093455265e-05,4.0508551969,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529604748,3.8610097797,0.7039504837,1.9888006461e-05,7.9552025843e-05,1.0,0.080529604748,3.8610097797,0.7039504837,1.9888006461e-05,7.9552025843e-05,6.0
10,1,-10,0,0,6.819467264e-05,4.0508529789,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529636339,3.8610075102,0.70395015669,3.1470628175e-05,0.0001258825127,1.0,0.080529636339,3.8610075102,0.70395015669,3.1470628175e-05,0.0001258825127,6.0
11,1,-11,0,0,0.00010580177682,4.0508477844,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.08052971032,3.8610021953,0.70394939085,4.8821449269e-05,0.00019528579708,1.0,0.08052971032,3.8610021953,0.70394939085,4.8821449269e-05,0.00019528579708,6.0
12,1,-12,0,0,0.00014332741742,4.0508403648,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529815993,3.8609946038,0.70394829696,6.6131746564e-05,0.00026452698626,1.0,0.080529815993,3.8609946038,0.70394829696,6.6131746564e-05,0.00026452698626,6.0
13,1,-13,0,0,0.00018074213198,4.0508307443,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080529953013,3.8609847603,0.70394687857,8.3387974428e-05,0.00033355189771,1.0,0.080529953013,3.8609847603,0.70394687857,8.3387974428e-05,0.00033355189771,6.0
14,1,-14,0,0,0.00021801763444,4.0508189535,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080530120946,3.8609726962,0.70394514018,0.00010057713829,0.00040230855317,1.0,0.080530120946,3.8609726962,0.70394514018,0.00010057713829,0.00040230855317,6.0
15,1,-15,0,0,0.00025512706113,4.0508050289,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080530319271,3.8609584489,0.70394308717,0.00011768690737,0.00047074762947,1.0,0.080530319271,3.8609584489,0.70394308717,0.00011768690737,0.00047074762947,6.0
16,1,-16,0,0,0.00029204517734,4.0507890125,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080530547392,3.8609420613,0.70394072572,0.00013470570909,0.00053882283635,1.0,0.080530547392,3.8609420613,0.70394072572,0.00013470570909,0.00053882283635,6.0
17,1,-17,0,0,0.00032874854141,4.0507709511,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080530804643,3.8609235814,0.70393806271,0.00015162280389,0.00060649121557,1.0,0.080530804643,3.8609235814,0.70393806271,0.00015162280389,0.00060649121557,6.0
18,1,-18,0,0,0.00036521562511,4.0507508956,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080531090303,3.860903061,0.70393510562,0.00016842833981,0.00067371335923,1.0,0.080531090303,3.860903061,0.70393510562,0.00016842833981,0.00067371335923,6.0
19,1,-19,0,0,0.00040142689107,4.0507289002,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.0805314036,3.8608805558,0.70393186243,0.00018511338721,0.00074045354886,1.0,0.0805314036,3.8608805558,0.70393186243,0.00018511338721,0.00074045354886,6.0
20,1,-20,0,0,0.00043736482957,4.0507050217,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080531743724,3.860856124,0.70392834152,0.0002016699549,0.00080667981959,1.0,0.080531743724,3.860856124,0.70392834152,0.0002016699549,0.00080667981959,6.0
21,1,-21,0,0,0.00047301395832,4.0506793194,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080532109836,3.8608298259,0.70392455158,0.00021809098904,0.00087236395614,1.0,0.080532109836,3.8608298259,0.70392455158,0.00021809098904,0.00087236395614,6.0
22,1,-22,0,0,0.00050836078966,4.0506518535,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080532501076,3.8608017235,0.70392050149,0.00023437035725,0.00093748142899,1.0,0.080532501076,3.8608017235,0.70392050149,0.00023437035725,0.00093748142899,6.0
23,1,-23,0,0,0.00054339377156,4.0506226856,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080532916573,3.8607718796,0.7039162003,0.00025050282059,0.0010020112824,1.0,0.080532916573,3.8607718796,0.7039162003,0.00025050282059,0.0010020112824,6.0
24,1,-24,0,0,0.00059533535351,4.0505758758,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080533583399,3.8607239851,0.70390929734,0.00027441730427,0.0010976692171,1.0,0.080533583399,3.8607239851,0.70390929734,0.00027441730427,0.0010976692171,6.0
25,1,-25,0,0,0.00064652373128,4.0505255824,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080534299881,3.8606725261,0.70390188029,0.00029798005272,0.0011919202109,1.0,0.080534299881,3.8606725261,0.70390188029,0.00029798005272,0.0011919202109,6.0
26,1,-26,0,0,0.00069694143407,4.0504720092,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080535063123,3.8606177114,0.70389397914,0.00032118329886,0.0012847331954,1.0,0.080535063123,3.8606177114,0.70389397914,0.00032118329886,0.0012847331954,6.0
27,1,-27,0,0,0.00074657804935,4.0504153542,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080535870307,3.8605597435,0.70388562304,0.00034402252113,0.0013760900845,1.0,0.080535870307,3.8605597435,0.70388562304,0.00034402252113,0.0013760900845,6.0
28,1,-28,0,0,0.00079542927377,4.0503558082,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080536718726,3.8604988175,0.70387684001,0.00036649600364,0.0014659840145,1.0,0.080536718726,3.8604988175,0.70387684001,0.00036649600364,0.0014659840145,6.0
29,1,-29,0,0,0.00084349599364,4.0502935528,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080537605795,3.8604351195,0.70386765682,0.00038860441053,0.0015544176421,1.0,0.080537605795,3.8604351195,0.70386765682,0.00038860441053,0.0015544176421,6.0
30,1,-30,0,0,0.00089078342408,4.0502287604,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080538529063,3.8603688258,0.70385809881,0.00041035038816,0.0016414015526,1.0,0.080538529063,3.8603688258,0.70385809881,0.00041035038816,0.0016414015526,6.0
31,1,-31,0,0,0.00093730032484,4.0501615937,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080539486221,3.8603001027,0.70384818988,0.00043173820297,0.0017269528119,1.0,0.080539486221,3.8603001027,0.70384818988,0.00043173820297,0.0017269528119,6.0
32,1,-32,0,0,0.00098305830146,4.0500922049,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080540475102,3.8602291061,0.70383795247,0.00045277341919,0.0018110936768,1.0,0.080540475102,3.8602291061,0.70383795247,0.00045277341919,0.0018110936768,6.0
33,1,-33,0,0,0.0010280711938,4.0500207368,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.08054149368,3.860155982,0.70382740754,0.00047346261715,0.0018938504686,1.0,0.08054149368,3.860155982,0.70382740754,0.00047346261715,0.0018938504686,6.0
34,1,-34,0,0,0.0010723545506,4.0499473223,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080542540063,3.8600808665,0.70381657465,0.00049381315127,0.0019752526051,1.0,0.080542540063,3.8600808665,0.70381657465,0.00049381315127,0.0019752526051,6.0
35,1,-35,0,0,0.0011374499679,4.0498338171,0.0,2.5,1.0,2000.0,0.10000000149,0.0,0.36000001431,1.0,0.0099999997765,10.0,1.0,0.080544157995,3.8599647315,0.70379982453,0.00052372197034,0.0020948878814,1.0,0.080544157995,3.8599647315,0.70379982453,0.00052372197034,0.0020948878814,6.0
